"id","lat","long"
4006,151.13326,-34.06504
2466,-2.91539,58.84291
1974,-0.06798,39.85999
3894,152.60999,-25.18295
2333,-2.9688,58.7386
5487,129.04707,35.10227
5535,128.79677,35.07165
3593,50.83263,28.99803
3988,115.33994,-33.6319
3546,54.66334,26.50767
5157,10.16351,63.31353
6654,-41.88667,-22.75119
6093,-70.62772,41.73692
3712,106.2403,-6.9509
6622,-34.83743,-6.98329
6887,-71.45617,10.36507
3366,12.19253,-5.54792
6751,-67.60105,-54.93111
6625,-42.01958,-22.87787
6944,-71.6613,17.9229
1904,3.28167,42.28459
115,-6.27832,36.5383
1762,-0.32852,49.18679
2270,-4.27963,53.14201
5416,124.66574,8.49308
116,9.08631,39.2229
4080,107.02744,10.54098
6852,-79.4694,22.5319
6880,-66.1806,7.64487
117,-5.02119,54.9678
3974,145.78224,-16.91575
6256,-89.16842,37.00757
2044,7.59774,43.7883
3292,-4.3705,35.14991
1925,3.4631,39.70981
3347,8.3217,4.97286
5404,120.79902,13.92169
1952,0.85105,40.92787
2913,22.92715,43.99779
118,1.85034,50.9689
5452,121.1913,13.4274
2049,8.37485,39.1131
6541,-90.40353,20.84732
6709,-73.12775,-41.77837
6710,-73.19609,-41.78997
6064,-83.774,45.412
6750,-70.82683,-27.05671
6746,-70.85292,-27.08251
2702,-13.5025,29.227
6725,-72.60372,-42.55743
6743,-72.64343,-41.69108
6793,-67.498,-46.4732
6719,-72.64711,-41.73716
6747,-73.32134,-47.9348
6545,-87.12586,20.57294
6924,-77.15537,-12.05588
3962,153.13014,-26.808
6116,-87.52652,41.73671
1752,8.76238,42.56419
4081,107.29907,20.98797
1961,-9.18108,43.12634
6778,-65.7083,-44.8022
6119,-122.4039,45.57932
6704,-48.60408,-27.0012
1864,1.06256,41.06236
3113,40.1947,40.9224
6306,-93.32541,29.7945
6652,-40.83921,-2.89788
2689,-5.38096,36.17096
6775,-58.95923,-34.15388
119,-5.58825,55.423
6595,-90.54724,19.8453
2750,10.74982,45.75148
4076,105.79214,10.05237
7186,26.4028,40.15471
6627,-47.92429,-25.01631
6421,-65.9781,45.20605
6619,-38.94179,-15.68342
6607,-86.8046,21.18648
2687,-16.3659,28.35895
1820,3.03715,42.70303
1884,-8.78306,42.25755
1597,-6.4921,57.0554
120,7.025,43.5435
6513,-60.99354,45.33878
1676,0.56296,51.50701
4163,118.58155,39.01367
4156,121.49378,30.78763
7071,-72.197,19.7545
3362,8.71871,-0.62973
6444,-61.85232,47.37763
3281,-14.49557,26.11545
121,-80.6148,28.4102
3847,113.39775,-24.22176
3912,139.69893,-36.94217
3951,138.09331,-35.60599
6318,-74.95893,38.96742
3335,-7.72649,4.36842
3866,116.19386,-20.8291
122,18.4356,-33.9095
7040,-61.22098,15.8891
3369,13.1751,-8.88775
2486,-9.49854,52.62729
2036,14.2422,40.5568
1861,-1.89317,36.97655
2117,26.71121,40.37966
6836,-81.19451,23.05296
123,-3.16981,51.452
6461,-75.37144,44.78805
3961,151.32174,-33.61254
7098,-61.60751,10.68617
1713,-1.23301,49.31199
1922,-7.8664,43.736
2082,8.31264,39.1438
3964,113.64589,-24.89821
2273,-5.98842,54.99378
1847,3.97369,43.54403
1428,7.80186,53.69105
1781,5.01494,43.40309
1956,-9.015,42.51928
2429,-5.81002,54.70992
7163,-75.53787,10.38913
443,-0.9826,37.5868
1823,-1.78859,49.37287
1978,-5.39861,36.17737
6170,-85.95363,36.24746
6862,-63.2467,10.67544
6960,-68.903,18.39841
3290,-7.59532,33.61479
3312,-17.03524,20.81746
2727,-9.41675,38.69241
7122,-61.13895,14.64106
6834,-79.99093,21.75132
2058,14.47317,40.6969
1923,0.02134,39.96082
2083,8.70116,40.91362
1614,-7.4898,56.953
2351,-4.6504,54.07339
2478,-9.90719,51.65089
7169,-61.00138,14.01543
6757,-73.75824,-42.48409
2767,18.42594,39.99954
1955,-7.03098,43.52936
5448,124.00393,12.00406
2037,15.09748,37.49166
2760,16.63311,38.82645
6321,-82.83628,41.58763
6180,-123.38873,46.2013
6883,-67.03254,10.61281
5401,121.94831,11.9286
